Person,Wikipage,Preprocessed Wikipage,Description,Preprocessed Description
Astronauts,"**Tam Elizabeth O'Shaughnessy** (born January 27, 1952) is an American
children's science writer and former professional tennis player who co-founded
the science education company Sally Ride Science together with her partner,
astronaut Sally Ride, the first American woman in space. The company was
relaunched as a nonprofit entity, Sally Ride Science at UC San Diego, on
October 1, 2015. O'Shaughnessy serves as executive director.",tam elizabeth oshaughnessy born january american childrens science writer former professional tennis player cofounded science education company sally ride science together partner astronaut sally ride first american woman space company relaunched nonprofit entity sally ride science uc san diego october oshaughnessy serves executive director,"American educator, children's science writer, professional tennis player",american educator childrens science writer professional tennis player
Astronauts,"**NASA Astronaut Group 8** was a group of 35 astronauts announced on January
16, 1978. It was the first NASA selection since Group 6 in 1967, and was the
largest group to that date. The class was the first to include female and
minority astronauts; of the 35 selected, six were women, one of them being
Jewish American, three were African American, and one was Asian American.",nasa astronaut group group astronauts announced january first nasa selection since group largest group date class first include female minority astronauts selected six women one jewish american three african american one asian american,Wikimedia list article,wikimedia list article
Astronauts,"**RV _Sally Ride_ (AGOR-28)** is a _Neil Armstrong_ -class research vessel
owned by the United States Navy and operated by the Scripps Institution of
Oceanography. The ship was named for Sally Ride, a US astronaut.",rv sally ride agor neil armstrong class research vessel owned united states navy operated scripps institution oceanography ship named sally ride us astronaut,Wikimedia list article,wikimedia list article
Astronauts,"**Sally Ride Science at UC San Diego** is a nonprofit run by the University of
California, San Diego. It was founded as a company in 2001 by Sally Ride,
America's first woman in space, along with Tam O'Shaughnessy, Karen Flammer,
Terry McEntee, and Alann Lopes to inspire young people in science, technology,
engineering, and math (STEM) and to promote STEM literacy. Sally Ride Science
was relaunched at UC San Diego on October 1, 2015.",sally ride science uc san diego nonprofit run university california san diego founded company sally ride americas first woman space along tam oshaughnessy karen flammer terry mcentee alann lopes inspire young people science technology engineering math stem promote stem literacy sally ride science relaunched uc san diego october,"science education non-profit organization in San Diego, California, USA",science education nonprofit organization san diego california usa
Astronauts,"**Charles** "" **Pete** "" **Conrad Jr.** (June 2, 1930 – July 8, 1999) was an
American NASA astronaut, aeronautical engineer, naval officer and aviator, and
test pilot, and commanded the Apollo 12 space mission, on which he became the
third person to walk on the Moon. Conrad was selected in NASA's second
astronaut class in 1962. Before becoming an astronaut, Conrad earned his Bachelor of Science degree in
Aeronautical Engineering from Princeton University—being the first Ivy League
astronaut—and joined the U.S. Navy.",charles pete conrad jr june – july american nasa astronaut aeronautical engineer naval officer aviator test pilot commanded apollo space mission became third person walk moon conrad selected nasas second astronaut class becoming astronaut conrad earned bachelor science degree aeronautical engineering princeton university—being first ivy league astronaut—and joined us navy,American astronaut,american astronaut
Astronauts,"Col. **Jack Robert Lousma** USMC, Ret. (born February 29, 1936) is an American
astronaut, aeronautical engineer, retired United States Marine Corps officer,
former naval aviator, NASA astronaut, and politician. He was a member of the
second crew, Skylab-3, on the Skylab space station in 1973.",col jack robert lousma usmc ret born february american astronaut aeronautical engineer retired united states marine corps officer former naval aviator nasa astronaut politician member second crew skylab skylab space station,American astronaut and politician,american astronaut politician
Astronauts,"**Paul Joseph Weitz** (July 25, 1932 – October 22, 2017) was an American naval
officer and aviator, aeronautical engineer, test pilot, and NASA astronaut,
who flew into space twice. He was a member of the three-man crew who flew on
Skylab 2, the first crewed Skylab mission. He was also Commander of the STS-6
mission, the maiden flight of the Space Shuttle _Challenger_.",paul joseph weitz july – october american naval officer aviator aeronautical engineer test pilot nasa astronaut flew space twice member threeman crew flew skylab first crewed skylab mission also commander sts mission maiden flight space shuttle challenger,American astronaut,american astronaut
Astronauts,"**Vance DeVoe Brand** (born May 9, 1931) is an American naval officer,
aviator, aeronautical engineer, test pilot, and NASA astronaut. He served as
command module pilot during the first U.S.-Soviet joint spaceflight in 1975,
and as commander of three Space Shuttle missions. His flight experience includes 9,669 flying hours, which includes 8,089 hours
in jets, 391 hours in helicopters, 746 hours in spacecraft, and checkout in
more than 30 types of military aircraft.",vance devoe brand born may american naval officer aviator aeronautical engineer test pilot nasa astronaut served command module pilot first ussoviet joint spaceflight commander three space shuttle missions flight experience includes flying hours includes hours jets hours helicopters hours spacecraft checkout types military aircraft,test pilot and NASA astronaut,test pilot nasa astronaut
Astronauts,"**William Benjamin ""Bill"" Lenoir** (March 14, 1939 – August 26, 2010) was an
American electrical engineer and NASA astronaut.",william benjamin bill lenoir march – august american electrical engineer nasa astronaut,American astronaut,american astronaut
Astronauts,"**Don Leslie Lind** (born May 18, 1930) is an American scientist and a former
naval officer and aviator, and NASA astronaut. He graduated from the
University of Utah with an undergraduate degree in physics in 1953. Following
his military service obligation, he earned a Ph.D. in high-energy nuclear
physics from the University of California, Berkeley in 1964.",leslie lind born may american scientist former naval officer aviator nasa astronaut graduated university utah undergraduate degree physics following military service obligation earned phd highenergy nuclear physics university california berkeley,American astronaut,american astronaut
Astronauts,"**Edward George Gibson** (born November 8, 1936) is a former NASA astronaut,
pilot, engineer, and physicist. Before becoming an astronaut, Gibson graduated from the University of
Rochester and the California Institute of Technology. He became a research
assistant in jet propulsion while completing his studies, and eventually
became a research scientist for Philco Corporation until joining NASA in 1965.",edward george gibson born november former nasa astronaut pilot engineer physicist becoming astronaut gibson graduated university rochester california institute technology became research assistant jet propulsion completing studies eventually became research scientist philco corporation joining nasa,American astronaut,american astronaut
Astronauts,"Colonel **Gerald Paul Carr** (August 22, 1932 – August 26, 2020) was an
American mechanical and aeronautical engineer, United States Marine Corps
officer, naval aviator, and NASA astronaut. He was Commander of Skylab 4, the
third and final crewed visit to the Skylab Orbital Workshop, from November 16,
1973, to February 8, 1974.",colonel gerald paul carr august – august american mechanical aeronautical engineer united states marine corps officer naval aviator nasa astronaut commander skylab third final crewed visit skylab orbital workshop november february,American astronaut,american astronaut
Astronauts,"**Joseph Peter Kerwin** (born February 19, 1932) is an American physician and
former NASA astronaut, who served as Science Pilot for the Skylab 2 mission
from May 25–June 22, 1973. He was the first physician to be selected for
astronaut training. Joe Kerwin was the one who uttered the words during Apollo
13: “Farewell, Aquarius, and we thank you.” Kerwin was inducted into the
United States Astronaut Hall of Fame in 1997.",joseph peter kerwin born february american physician former nasa astronaut served science pilot skylab mission may –june first physician selected astronaut training joe kerwin one uttered words apollo “ farewell aquarius thank ” kerwin inducted united states astronaut hall fame,American astronaut,american astronaut
Astronauts,"**Owen Kay Garriott** (November 22, 1930 – April 15, 2019) was an American
electrical engineer and NASA astronaut, who spent 60 days aboard the Skylab
space station in 1973 during the Skylab 3 mission, and 10 days aboard
Spacelab-1 on a Space Shuttle mission in 1983. After serving in the United States Navy, Garriott was an engineering professor
at Stanford University before attending the United States Air Force Pilot
Training Program and later joining NASA. After his NASA career, he worked for
various aerospace companies, consulted on NASA-related committees, taught as
an adjunct professor, and conducted research on microbes found in extreme
environments.",owen kay garriott november – april american electrical engineer nasa astronaut spent days aboard skylab space station skylab mission days aboard spacelab space shuttle mission serving united states navy garriott engineering professor stanford university attending united states air force pilot training program later joining nasa nasa career worked various aerospace companies consulted nasarelated committees taught adjunct professor conducted research microbes found extreme environments,American electrical engineer and astronaut (1930-2019),american electrical engineer astronaut
Astronauts,"**William Reid Pogue** (January 23, 1930 – March 3, 2014) was an American
astronaut and pilot who served in the United States Air Force (USAF) as a
fighter pilot and test pilot, and reached the rank of colonel. He was also a
teacher, public speaker and author. Born and educated in Oklahoma, Pogue graduated from Oklahoma Baptist
University with a Bachelor of Science degree in Education and enlisted in the
USAF in 1951 and served for 24 years.",william reid pogue january – march american astronaut pilot served united states air force usaf fighter pilot test pilot reached rank colonel also teacher public speaker author born educated oklahoma pogue graduated oklahoma baptist university bachelor science degree education enlisted usaf served years,American astronaut (1930-2014),american astronaut
Astronauts,"**Alan LaVern Bean** (March 15, 1932 – May 26, 2018) was an American naval
officer and aviator, aeronautical engineer, test pilot, NASA astronaut and
painter; he was the fourth person to walk on the Moon. He was selected to
become an astronaut by NASA in 1963 as part of Astronaut Group 3. Before becoming an astronaut, Bean graduated with a Bachelor of Science degree
in Aeronautical Engineering from University of Texas at Austin in 1955 and re-
joined the U.S. Navy—he served as an enlisted member for a year after his high
school graduation.",alan lavern bean march – may american naval officer aviator aeronautical engineer test pilot nasa astronaut painter fourth person walk moon selected become astronaut nasa part astronaut group becoming astronaut bean graduated bachelor science degree aeronautical engineering university texas austin joined us navy—he served enlisted member year high school graduation,American astronaut and painter (1932-2018),american astronaut painter
Astronauts,"**Francis Richard** "" **Dick** "" **Scobee** (May 19, 1939 – January 28, 1986)
was an American pilot, engineer, and astronaut. He was killed while he was
commanding the Space Shuttle _Challenger_ in 1986, which suffered catastrophic
booster failure during launch of the STS-51-L mission. He held a Bachelor of Science degree in Aerospace Engineering.",francis richard dick scobee may – january american pilot engineer astronaut killed commanding space shuttle challenger suffered catastrophic booster failure launch stsl mission held bachelor science degree aerospace engineering,American astronaut,american astronaut
Astronauts,"**Ellison Shoji Onizuka** (エリソン・ショージ・オニヅカ, 鬼塚 承次, _Onizuka Shōji_ , June 24,
1946 – January 28, 1986) was an American astronaut, engineer, and USAF test
pilot from Kealakekua, Hawaii, who successfully flew into space with the Space
Shuttle _Discovery_ on STS-51-C. He died in the destruction of the Space
Shuttle _Challenger_ , on which he was serving as Mission Specialist for
mission STS-51-L. He was the first Asian American and the first person of
Japanese origin to reach space.",ellison shoji onizuka エリソン・ショージ・オニヅカ 鬼塚 承次 onizuka shōji june – january american astronaut engineer usaf test pilot kealakekua hawaii successfully flew space space shuttle discovery stsc died destruction space shuttle challenger serving mission specialist mission stsl first asian american first person japanese origin reach space,"American astronaut from Kealakekua, Kona, Hawaii, first Asian American to reach space, later died in the Space Shuttle Challenger accident",american astronaut kealakekua kona hawaii first asian american reach space later died space shuttle challenger accident
Astronauts,"**Gregory Bruce Jarvis** (August 24, 1944 – January 28, 1986) was an American
engineer and astronaut who died during the destruction of the Space Shuttle
_Challenger_ on mission STS-51-L, where he was serving as payload specialist
for Hughes Aircraft.",gregory bruce jarvis august – january american engineer astronaut died destruction space shuttle challenger mission stsl serving payload specialist hughes aircraft,American astronaut (1944-1986),american astronaut
Astronauts,"**Michael John Smith** (April 30, 1945 – January 28, 1986), (Capt USN) was an
American engineer and astronaut. He served as the pilot of the Space Shuttle
_Challenger_ when it was destroyed during the STS-51-L mission, when it broke
up 73 seconds into the flight, and at an altitude of 48,000 feet (14.6 km),
killing all 7 crew members. Smith's voice was the last one heard on the
_Challenger_ voice recorder.",michael john smith april – january capt usn american engineer astronaut served pilot space shuttle challenger destroyed stsl mission broke seconds flight altitude feet km killing crew members smiths voice last one heard challenger voice recorder,American astronaut (1945-1986),american astronaut
Astronauts,"**Ronald Erwin McNair** (October 21, 1950 – January 28, 1986) was an American
NASA astronaut and physicist. He died during the launch of the Space Shuttle
_Challenger_ on mission STS-51-L, in which he was serving as one of three
mission specialists in a crew of seven. Prior to the _Challenger_ disaster, he flew as a mission specialist on
STS-41-B aboard _Challenger_ from February 3 to February 11, 1984, becoming
the second African American and the first Baháʼí to fly in space.",ronald erwin mcnair october – january american nasa astronaut physicist died launch space shuttle challenger mission stsl serving one three mission specialists crew seven prior challenger disaster flew mission specialist stsb aboard challenger february february becoming second african american first baháʼí fly space,"physicist, astronaut (1950-1986)",physicist astronaut
Astronauts,"**Judith Arlene Resnik** (April 5, 1949 – January 28, 1986) was an American
electrical engineer, software engineer, biomedical engineer, pilot and NASA
astronaut who died in the Space Shuttle _Challenger_ disaster aboard the Space
Shuttle _Challenger_ during the launch of mission STS-51-L. Resnik was the
fourth woman, the second American woman, and the first Jewish woman of any
nationality to fly in space, logging 145 hours in orbit. Her first space
flight was the STS-41-D mission in August and September 1984, when her duties
included operating the Space Shuttle's robotic arm. Recognized while still a child for her ""intellectual brilliance"", Resnik was
accepted at Carnegie Mellon University after being one of only sixteen women
in the history of the United States to have attained a perfect score on the
SAT exam at the time.",judith arlene resnik april – january american electrical engineer software engineer biomedical engineer pilot nasa astronaut died space shuttle challenger disaster aboard space shuttle challenger launch mission stsl resnik fourth woman second american woman first jewish woman nationality fly space logging hours orbit first space flight stsd mission august september duties included operating space shuttles robotic arm recognized still child intellectual brilliance resnik accepted carnegie mellon university one sixteen women history united states attained perfect score sat exam time,American engineer and NASA astronaut who died in the Space Shuttle Challenger disaster,american engineer nasa astronaut died space shuttle challenger disaster
Astronauts,"**Sharon Christa McAuliffe** (née **Corrigan** ; September 2, 1948 – January
28, 1986) was an American teacher and astronaut from Concord, New Hampshire,
who was killed on the Space Shuttle _Challenger_ on mission STS-51-L where she
was serving as a payload specialist. She received her bachelor's degree in education and history from Framingham
State College in 1970 and her master's degree in education, supervision and
administration from Bowie State University in 1978. She took a teaching
position as a social studies teacher at Concord High School in New Hampshire
in 1983.",sharon christa mcauliffe née corrigan september – january american teacher astronaut concord new hampshire killed space shuttle challenger mission stsl serving payload specialist received bachelors degree education history framingham state college masters degree education supervision administration bowie state university took teaching position social studies teacher concord high school new hampshire,American educator and astronaut,american educator astronaut
Astronauts,"**Kirt Niedrigh** is a fictional character, a semi-reformed supervillain in
the DC Comics Universe. Created by Cary Bates and Mike Grell, Niedrigh is a
former hopeful for the Legion of Super-Heroes under the guise of **Absorbency
Boy**. After being rejected from the team, years later he resurfaced as
**Earth-Man** leading a group of supervillains calling themselves the ""Justice
League of Earth"", which help to enforce a xenophobic agenda that Earth has
adopted.",kirt niedrigh fictional character semireformed supervillain dc comics universe created cary bates mike grell niedrigh former hopeful legion superheroes guise absorbency boy rejected team years later resurfaced earthman leading group supervillains calling justice league earth help enforce xenophobic agenda earth adopted,DC Comics character,dc comics character
Astronauts,"**Lar Gand** , known mainly as **Mon-El** (and alternatively as **Valor** and
**M'Onel** ), is a fictional character appearing in American comic books
published by DC Comics, commonly in association with the Legion of Super-
Heroes, Superboy, and Superman. The character has been reinterpreted over the
years, but in all versions, he serves as a hero with abilities similar to
those of Superman, sometimes serving as a substitute for him. The character made his live-action debut in season 2 of the Arrowverse TV
series _Supergirl_ , played by Chris Wood as a regular character for several
seasons.",lar gand known mainly monel alternatively valor monel fictional character appearing american comic books published dc comics commonly association legion super heroes superboy superman character reinterpreted years versions serves hero abilities similar superman sometimes serving substitute character made liveaction debut season arrowverse tv series supergirl played chris wood regular character several seasons,DC Comics character,dc comics character
Astronauts,"**Sodam Yat** is a fictional character, an extraterrestrial superhero
published by DC Comics. He first appeared in _Tales of the Green Lantern Corps
Annual_ #2 (1986), and was created by Alan Moore and Kevin O'Neill. He
operated as **Ion** , having become one of the most powerful characters in
current continuity.",sodam yat fictional character extraterrestrial superhero published dc comics first appeared tales green lantern corps annual created alan moore kevin oneill operated ion become one powerful characters current continuity,DC Comics character,dc comics character
Astronauts,"**Kilowog** is a fictional superhero appearing in American comic books
published by DC Comics. The character is a member of the Green Lantern Corps. The character appeared in the 2011 _Green Lantern_ film with his voice
provided by actor Michael Clarke Duncan.",kilowog fictional superhero appearing american comic books published dc comics character member green lantern corps character appeared green lantern film voice provided actor michael clarke duncan,fictional character,fictional character
Astronauts,"**Boodikka** is a fictional character featured in comic books published by DC
Comics. Boodikka is a tall, well-muscled humanoid alien female with pink skin
and reddish black hair. Her name is a play on the ancient British warrior-
queen Boudica.",boodikka fictional character featured comic books published dc comics boodikka tall wellmuscled humanoid alien female pink skin reddish black hair name play ancient british warrior queen boudica,fictional character,fictional character
Astronauts,"**Harold ""Hal"" Jordan** , also known as **Green Lantern** , is a fictional
superhero appearing in American comic books published by DC Comics. The
character was created in 1959 by writer John Broome and artist Gil Kane, and
first appeared in _Showcase_ #22 (October 1959). Hal Jordan is a reinvention
of the previous Green Lantern who appeared in 1940s comic books as the
character Alan Scott.",harold hal jordan also known green lantern fictional superhero appearing american comic books published dc comics character created writer john broome artist gil kane first appeared showcase october hal jordan reinvention previous green lantern appeared comic books character alan scott,fictional superhero published by DC Comics,fictional superhero published dc comics
Astronauts,"**Green Man** is the name of two fictional comic book superheroes, both
extraterrestrial from the planet Uxor in the Vega star system, one a member of
the Omega Men and both members of the Green Lantern Corps. Green Man first
appeared in DC Comics' _Green Lantern_ (vol. 2) #164 (May 1983) and was
created by writer Todd Klein and artist Dave Gibbons.",green man name two fictional comic book superheroes extraterrestrial planet uxor vega star system one member omega men members green lantern corps green man first appeared dc comics green lantern vol may created writer todd klein artist dave gibbons,fictional superhero published by DC Comics,fictional superhero published dc comics
Astronauts,"**Kreon** is a fictional character featured in comic books published by DC
Comics. He is a Green Lantern from the world of Tebis. Physically, he is a
tall, well-muscled humanoid alien with orange-tinted skin and blonde hair.",kreon fictional character featured comic books published dc comics green lantern world tebis physically tall wellmuscled humanoid alien orangetinted skin blonde hair,male given name (Κρέων),male given name κρέων
Astronauts,"**Guy Gardner** is a fictional comic book superhero appearing in books
published by DC Comics, usually in books featuring the Green Lantern family of
characters, and for a time (late 1980s through mid 1990s) was also a
significant member of the Justice League family of characters. He usually
appears in books featuring the Green Lantern Corps, an intergalactic police
force in which Gardner has usually been depicted as a member. Gardner's
original design was based on actor Martin Milner.",guy gardner fictional comic book superhero appearing books published dc comics usually books featuring green lantern family characters time late mid also significant member justice league family characters usually appears books featuring green lantern corps intergalactic police force gardner usually depicted member gardners original design based actor martin milner,male given name (Κρέων),male given name κρέων
Astronauts,"**Alan Scott** is a fictional superhero appearing in American comic books
published by DC Comics, and the first character to bear the name **Green
Lantern**. He fights evil with the aid of a magical ring which grants him a
variety of powers. He was created by Martin Nodell and Bill Finger, first
appearing in the comic book _All-American Comics_ #16, published in 1940.",alan scott fictional superhero appearing american comic books published dc comics first character bear name green lantern fights evil aid magical ring grants variety powers created martin nodell bill finger first appearing comic book allamerican comics published,fictional superhero of the DC Comics Universe,fictional superhero dc comics universe
Astronauts,"**Ion** is a fictional character, a DC Comics superhero. Created by writer
Judd Winick and artist Dale Eaglesham for _Green Lantern_ (vol. 3) #142, Ion
was devised as the new superhero identity for _Green Lantern_ protagonist Kyle
Rayner.",ion fictional character dc comics superhero created writer judd winick artist dale eaglesham green lantern vol ion devised new superhero identity green lantern protagonist kyle rayner,fictional superhero of the DC Comics Universe,fictional superhero dc comics universe
Astronauts,"**Jack T. Chance** is a fictional character featured in comic books published
by DC Comics. He is a Green Lantern from the world of Garnet—also known as
Hellhole. Physically, he is a tall, blue-skinned humanoid.",jack chance fictional character featured comic books published dc comics green lantern world garnet—also known hellhole physically tall blueskinned humanoid,fictional character,fictional character
Astronauts,"**Jade** ( **Jennifer-Lynn Hayden** ) is a superhero in the DC Comics
Universe. She first appeared in _All-Star Squadron_ #25 in September 1983. She
is the daughter of Alan Scott and Rose Canton and the twin sister of Obsidian.",jade jenniferlynn hayden superhero dc comics universe first appeared allstar squadron september daughter alan scott rose canton twin sister obsidian,"fictional character, a superheroine in the DC Comics Universe",fictional character superheroine dc comics universe
Astronauts,"**Ch'p** is a fictional superhero appearing in American comic books published
by DC Comics. He is a member of the Green Lantern Corps in the DC Comics
Universe. An extraterrestrial, he resembles an anthropomorphic rodent, such as
a squirrel or chipmunk.",chp fictional superhero appearing american comic books published dc comics member green lantern corps dc comics universe extraterrestrial resembles anthropomorphic rodent squirrel chipmunk,fictional Green Lantern,fictional green lantern
Astronauts,"**Mogo** is a fictional character who appears as a sentient planet and a
member of the Green Lantern Corps in the DC Universe.",mogo fictional character appears sentient planet member green lantern corps dc universe,"capital of the German state of Rhineland-Palatinate, Germany",capital german state rhinelandpalatinate germany
Astronauts,"**John Stewart** , one of the characters known as **Green Lantern** , is a
fictional superhero appearing in American comic books published by DC Comics
and was the second African-American superhero to appear in DC Comics. The
character was created by Dennis O'Neil and Neal Adams, and first appeared in
_Green Lantern_ (Volume 2) #87 (December 1971/January 1972). Stewart's
original design was based on actor Sidney Poitier.",john stewart one characters known green lantern fictional superhero appearing american comic books published dc comics second africanamerican superhero appear dc comics character created dennis oneil neal adams first appeared green lantern volume december january stewarts original design based actor sidney poitier,"capital of the German state of Rhineland-Palatinate, Germany",capital german state rhinelandpalatinate germany
Astronauts,"**Katma Tui** is a comic book superhero, an extraterrestrial from the planet
Korugar, and a member of the intergalactic police force known as the Green
Lantern Corps. She is a Green Lantern successor of the supervillain Sinestro
and predecessor of Sinestro's daughter Soranik Natu.",katma tui comic book superhero extraterrestrial planet korugar member intergalactic police force known green lantern corps green lantern successor supervillain sinestro predecessor sinestros daughter soranik natu,"fictional comic book superhero, an extraterrestrial from the planet Korugar, and a member of the intergalactic police force known as the Green Lantern Corps",fictional comic book superhero extraterrestrial planet korugar member intergalactic police force known green lantern corps
Astronauts,"**Salaak** is a fictional comic book superhero, an extraterrestrial from the
planet Slyggia, and a member of the intergalactic police force known as the
Green Lantern Corps, who appears in DC Comics. Physically, he has pinkish
orange skin and four arms.",salaak fictional comic book superhero extraterrestrial planet slyggia member intergalactic police force known green lantern corps appears dc comics physically pinkish orange skin four arms,fictional character,fictional character
Astronauts,"**Thaal Sinestro** () is a supervillain appearing in American comic books
published by DC Comics, particularly those featuring Green Lantern. Sinestro
is a former Green Lantern Corps member who was dishonorably discharged for
abusing his power. He is the archnemesis of Hal Jordan and founder of the
Sinestro Corps.",thaal sinestro supervillain appearing american comic books published dc comics particularly featuring green lantern sinestro former green lantern corps member dishonorably discharged abusing power archnemesis hal jordan founder sinestro corps,fictional supervillain in the DC Comics Universe,fictional supervillain dc comics universe
Astronauts,"**Abin Sur** is a fictional superhero from the DC Comics universe. He was a
member of the Green Lantern Corps and is best known as the predecessor of
Green Lantern Hal Jordan, whom Abin Sur's power ring chose as his replacement. After the _Infinite Crisis_ events, details of Abin Sur's past is altered and
was revealed to be a brother-in-law of Sinestro and uncle of his daughter
Soranik Natu.",abin sur fictional superhero dc comics universe member green lantern corps best known predecessor green lantern hal jordan abin surs power ring chose replacement infinite crisis events details abin surs past altered revealed brotherinlaw sinestro uncle daughter soranik natu,DC Comics character,dc comics character
Astronauts,"**Ganthet** is a fictional character of the DC Comics universe, who first
appeared in 1992 in Larry Niven and John Byrne’s graphic novel _Green Lantern:
Ganthet's Tale_ (ISBN 1-56389-026-7). He is also the husband of Sayd.",ganthet fictional character dc comics universe first appeared larry niven john byrne ’ graphic novel green lantern ganthets tale isbn also husband sayd,fictional character in the DC Comics universe,fictional character dc comics universe
Astronauts,"**Tomar-Tu** is a fictional character, a Green Lantern featured in comic books
published by DC Comics. He is a member of an extraterrestrial race called
Xudarians. Tomar-Tu is the son and successor of another Green Lantern Corps
officer Tomar-Re.",tomartu fictional character green lantern featured comic books published dc comics member extraterrestrial race called xudarians tomartu son successor another green lantern corps officer tomarre,fictional character,fictional character
Astronauts,"**Arisia Rrab** is a fictional superheroine appearing in publications by the
American publisher DC Comics, usually those featuring the Green Lantern Corps,
an intergalactic police force of which she is a member. Arisia is a humanoid
alien with golden-yellow skin, hair and eyes, and has pointed, elven ears. Arisia is named after the planet Arisia in the _Lensman_ novels by E.E.",arisia rrab fictional superheroine appearing publications american publisher dc comics usually featuring green lantern corps intergalactic police force member arisia humanoid alien goldenyellow skin hair eyes pointed elven ears arisia named planet arisia lensman novels ee,DC Comics character,dc comics character
Astronauts,"**Kyle Rayner** () is a fictional superhero appearing in American comic books
published by DC Comics. The character is depicted as being associated with the
Green Lantern Corps, an extraterrestrial police force of which he has been a
member. In 2013, Kyle Rayner was placed 14th on IGN's list of the ""Top 25 Heroes of DC
Comics"".",kyle rayner fictional superhero appearing american comic books published dc comics character depicted associated green lantern corps extraterrestrial police force member kyle rayner placed th igns list top heroes dc comics,fictional comic book superhero appearing in books published by DC Comics,fictional comic book superhero appearing books published dc comics
Astronauts,"**Tomar-Re** is a fictional DC Comics character, and a member of the Green
Lantern Corps. He is also the predecessor and father of Tomar-Tu. The character appeared in the 2011 _Green Lantern_ film with his voice
provided by Academy Award-Winner, Geoffrey Rush.",tomarre fictional dc comics character member green lantern corps also predecessor father tomartu character appeared green lantern film voice provided academy awardwinner geoffrey rush,character in DC Comics,character dc comics
Astronauts,"**Isamot Kol** is a fictional comic book superhero, an extraterrestrial from
the planet Thanagar, and a member of the intergalactic police force known as
the Green Lantern Corps. He first appeared in DC Comics' _Green Lantern Corps:
Recharge_ #1 (November 2005), and was created by writers Geoff Johns and Dave
Gibbons, and artist Patrick Gleason. He was named after editor Peter Tomasi,
in that Isamot is Tomasi spelled backwards.",isamot kol fictional comic book superhero extraterrestrial planet thanagar member intergalactic police force known green lantern corps first appeared dc comics green lantern corps recharge november created writers geoff johns dave gibbons artist patrick gleason named editor peter tomasi isamot tomasi spelled backwards,fictional character,fictional character
Astronauts,"**Soranik Natu** is a fictional character, current leader of the Sinestro
Corps, and a former member of the Green Lantern Corps in the DC Comics
Universe. She first appears in _Green Lantern Corps: Recharge_ #1 (November
2005), and was created by writers Geoff Johns, Dave Gibbons, and artist
Patrick Gleason. Soranik is an extraterrestrial from the planet Korugar, and a Green Lantern
successor of Katma Tui.",soranik natu fictional character current leader sinestro corps former member green lantern corps dc comics universe first appears green lantern corps recharge november created writers geoff johns dave gibbons artist patrick gleason soranik extraterrestrial planet korugar green lantern successor katma tui,fictional character in the DC Comics Universe,fictional character dc comics universe
Astronauts,"**Simon Baz** is a fictional superhero appearing in books published by DC
Comics, created by writer Geoff Johns and artist Doug Mahnke. Baz is an
officer of the Green Lantern Corps, an extraterrestrial police force. The
character made his debut in 2012 following DC's 2011 company-wide relaunch as
part of its _Green Lantern_ story arc ""Rise of the Third Army"", in which he
replaces Silver Age hero Hal Jordan as the Green Lantern of Earth's sector.",simon baz fictional superhero appearing books published dc comics created writer geoff johns artist doug mahnke baz officer green lantern corps extraterrestrial police force character made debut following dcs companywide relaunch part green lantern story arc rise third army replaces silver age hero hal jordan green lantern earths sector,fictional comic book superhero appearing in books published by DC Comics,fictional comic book superhero appearing books published dc comics
Astronauts,"**Jessica Cruz** is a fictional superhero appearing in American comic books
published by DC Comics. Created by Geoff Johns, Doug Mahnke, Ivan Reis and
Ethan Van Sciver, she is a member of the Green Lantern Corps and the Justice
League. Her first full appearance takes place in _Justice League_ (vol.",jessica cruz fictional superhero appearing american comic books published dc comics created geoff johns doug mahnke ivan reis ethan van sciver member green lantern corps justice league first full appearance takes place justice league vol,DC Comics character,dc comics character
Astronauts,"**Mary Wallace Funk** (born February 1, 1939) is an American aviator,
commercial astronaut, and Goodwill Ambassador. She was the first female air
safety investigator for the National Transportation Safety Board, the first
female civilian flight instructor at Fort Sill, Oklahoma, and the first female
Federal Aviation Agency inspector, as well as one of the Mercury 13. Funk became the oldest person to go to space on July 20, 2021 at age 82,
flying on Blue Origin's New Shepard spacecraft during its suborbital flight,
breaking a record held by John Glenn for 23 years.",mary wallace funk born february american aviator commercial astronaut goodwill ambassador first female air safety investigator national transportation safety board first female civilian flight instructor fort sill oklahoma first female federal aviation agency inspector well one mercury funk became oldest person go space july age flying blue origins new shepard spacecraft suborbital flight breaking record held john glenn years,American aviator and astronaut,american aviator astronaut
Astronauts,"A **commercial astronaut** is a person who has commanded, piloted, or served
as an active crew member of a privately funded spacecraft. This is distinct
from an otherwise non-government astronaut, for example Charlie Walker, who
flies while representing a non-government corporation but with funding or
training or both coming from government sources.",commercial astronaut person commanded piloted served active crew member privately funded spacecraft distinct otherwise nongovernment astronaut example charlie walker flies representing nongovernment corporation funding training coming government sources,"person trained to command, pilot, or serve as a crew member of a privately funded spacecraft",person trained command pilot serve crew member privately funded spacecraft
Astronauts,"**William Brian Binnie** (born 1953) is a former United States Navy officer
and one of the test pilots for SpaceShipOne, the experimental spaceplane
developed by Scaled Composites and flown from 2003–2004.",william brian binnie born former united states navy officer one test pilots spaceshipone experimental spaceplane developed scaled composites flown –,United States naval aviator and commercial astronaut,united states naval aviator commercial astronaut
